,manga_id,Title,url
2021,66243,Death Need Round (Light Novel),https://www.anime-planet.com/manga/death-need-round-light-novel
2022,4988,Death Note: Another Note - The Los Angeles BB Murder Cases (Light Novel),https://www.anime-planet.com/manga/death-note-another-note-the-los-angeles-bb-murder-cases-light-novel
2023,7333,Death Note: L Change the World (Light Novel),https://www.anime-planet.com/manga/death-note-l-change-the-world-light-novel
2024,47277,Death Note: Light Up the New World (Light Novel),https://www.anime-planet.com/manga/death-note-light-up-the-new-world-light-novel
2025,40376,Death's Daughter and the Ebony Blade (Light Novel),https://www.anime-planet.com/manga/deaths-daughter-and-the-ebony-blade-light-novel
2026,83446,Death Ticket (Light Novel),https://www.anime-planet.com/manga/death-ticket-light-novel
2027,27085,Deatte Hitotsuki de Zecchou Jorei! (Light Novel),https://www.anime-planet.com/manga/deatte-hitotsuki-de-zecchou-jorei-light-novel
2028,48400,Deban desu yo! Kaguya-sama (Light Novel),https://www.anime-planet.com/manga/deban-desu-yo-kaguya-sama-light-novel
2029,44901,Debi x Chiki: Bravely Soul - Makai kara Kita Konyakusha (Light Novel),https://www.anime-planet.com/manga/debi-x-chiki-bravely-soul-makai-kara-kita-konyakusha-light-novel
2030,27301,Debonair Real Estate (Light Novel),https://www.anime-planet.com/manga/debonair-real-estate-light-novel
2031,96783,"“Debu wa Deteike!” to Tsuihou Sareta no de, Cheat Skill “My Home” de Isekai Seikatsu wo Mankitsushimasu. (Light Novel)",https://www.anime-planet.com/manga/debu-wa-deteike-to-tsuihou-sareta-no-de-cheat-skill-my-home-de-isekai-seikatsu-wo-mankitsushimasu-light-novel
2032,64567,Deck Hitotsu de Isekai Tanbou (Light Novel),https://www.anime-planet.com/manga/deck-hitotsu-de-isekai-tanbou-light-novel
2033,67524,DE; Code Bullet (Light Novel),https://www.anime-planet.com/manga/de-code-bullet-light-novel
2034,65542,DEEMO: Last Dream (Light Novel),https://www.anime-planet.com/manga/deemo-last-dream-light-novel
2035,27449,Defeating the Demon Lord's a Cinch (If You've Got a Ringer) (Light Novel),https://www.anime-planet.com/manga/defeating-the-demon-lords-a-cinch-if-youve-got-a-ringer-light-novel
2036,47680,Degen Madchen EX (Light Novel),https://www.anime-planet.com/manga/degen-madchen-ex-light-novel
2037,47679,Degen Madchen (Light Novel),https://www.anime-planet.com/manga/degen-madchen-light-novel
